Topic ,Comment
abc bank Best Bank With Only One Problem,"In abcd almost everyone has their account in this bank, me too.And I like it so much because of their services and very generous customer support and the every now and then published new apps.


But I am here to address one issue which every abcdn is familiar with this Bank which is arrogant bankers.We are their customers, they are there to serve us not scare us.


My recent encounter was when I my mobile banking app was not working they were constantly sending me from counter to counter at last the guy who was supposed to solve that problem was not even there. That was so exhausting that I gave up.


But I still love this bank the rate of their progress is extraordinary cash deposit machines or book printing machines they are installing them every where. That makes up for their Crappy Employes.
"
abc bank,"Months back I went to open an account for my sister and the attendant failed to open an account, he was skilled enough to do that and asked for additional documents. This a very sad customer experience.


Today again when I went to the same branch after verifying the documents branch manager told that a student who doesn't have any account has been blacklisted and they can't open the account.


This not acceptable, have skilled employees to deal with public.


Later when I went to different bank in ten mins account was open and money transfered.


Branch manager of safdarjung branch does have any idea of how its works. Very very bad customer experience.
"
Worst Bank in my Life,"abc bank opened its branch in my town and started its operations 3 years back.


I wanted to open an account in the bank so I visited the branch and they always said to come on another day to even give an account opening form.


I came and went to the bank almost seven times to get my account pass book finally.And the main problem with the bank is the bank started a mini branch facility it is like a business correspondent and that is meant to be used when we dont have time to go to the branch itself and they should not collect any extra chargea from us according to the rules but they are charging 30 rupees for a transaction of 500 and 59 rupees for transaction above 1000. The bank completely stopped accepting deposits in the branch and telling us to deposit at the business correspondent only.What kind of wastw bank is this.
"
Don't deposit cash at latest CDM Machine @elobby,"Everybody Like abc bank. I too like, but I have to aware and complain about the latest cash deposit cdm machine . Few weeks ago I am going to deposit cash of 5000 rupee at nearest bank of abc bank. I see the latest machine is placed and no one here except the guard, so I do the start depositing , so what happen they taken 7 notes of 500 are taken but not taken 3 notes, so click on ok , then I see the box no note is in that, I will frustate alot, because I don't now any thing and cash deposit in my account is only 3500 I do the 5000 but thank God it kept the slips comes out from machine, ( please you also don't throw any slip of cdm machine before checking the balance) so I directly go to bank branch its a off time at 5 pm no body can ans me any thing , because its off time , even that sit free send me to other person to ask about that, so I ask her they said its a off time so can't do anything you come tommrow, so I come next day , after going here n there they give a cdm form they said fill and submit it so I fill it after they said that please attach a photocopy of this slip then sunmit , its 12 noon its heavy sunlight I go around 1km for photostate and I give 4 rupee for two slip for two slips and submit along with slips , after 2-3 weeks I got that 1500 rupee, So my qus are


Why they give late money in my account ok


Why they send me for photostate for 1km they itself also do it .


And 25 charges of transation from this I don't now I hear somebody is complaining


Old cdm machine is much better do the cash deposit here


When note is not accept they return it you try second time they acept it


Lazy staff


In the name of gov. Lazyness in work I am to deposit a check they said drop it at drop box even they had no work


Go anywhere seems mens are in line to deposit money no matter


Work not done hand to hand


Its all at CLEMENT TOWN BRANCH DEHRADUN UTTRAKHAND


Thank you
"
Best bank,I have account in abc bank since last 7 years and I must say abc bank is really very good.till now I have never faced any problems from this bank.like my refunds for any cancelled orders usually comes to me within the stipulated time.they also provide a high rate of interest on the savings account as compared to other banks and very recently they have also started many programs of investment like TDR etc.so I think its a quite reliable bank and its really good from all aspects.
RELIABLE BANK,"I have an account in abc bank since past 7 years and I have received a very good service from them.i have a fixed deposit in this bank and they provide very good interest rates on it.i also have a abc bank debit and credit card which I often use for shopping online and other purposes., .they give good reward points on the credit card too.and overall the service in the abc bank is also very organised, staff are very good and helpful.overall I can rely on abc bank completely."
abc bank,abc bank is have many branches but I do not credit of any other abc bank branch The cleark beahviour is very roudly And no print passbook to timely also excuse machine is not working Automatic machine is not proper working Banking staff is very slow to work 
Poor handling customers,The employees of abc bank are not very friendly. The employees are always frustrated and wont help if we need any help.people refer to security guards instead of cashiers and other employees who are supposed to help.they are taking their jobs lightly and therefore the reputation of the banks 
Overseas Funding problem,Overall s b I abc bank is one of the largest and most trustable bank of abcd even though it lacks in dealing with overseas payment. I am having some online dollars payment and I cannot use abc bank atm to validate that. It is so irritating. Also abc bank is one of the most busy bank
Good bank in abcd.,"abc bank is a very big bank in our nation ,


But sometimes it sucks.the ceo is bad,


Its customer service is average, not better than UBI,


abc bank offers u good loans, opportunities.but still I dont think its very best in its service!


Day by day it is going down, because of some maybe poor services, they close the bank very early compared to others.


PNB, UBI, ALLAHABAD, SBH is better than this .
"
abc bank is a very big business Bank,"abc bank is a very big business Bank in abcd other than nationalized Banks.


It has given many facilities to the Employees like big Salary, low interest on loan for the departmental employee.


LTC facilities is better other than Government department, this bank gives cash payment on LTC, employees status are maintained by the bank like children education, house rent and other allowances etc.


After superannuation the department gives pension, if any employee wants to take Voluntary Retirement from Service, they will be entitled for lump-sum payment at a time. abc bank is have many branches in abcd and also out of abcd. The clerk behavior is very rudely and working of staff is very slow to work.
"
Not upto mark service,I am a customer of abc bank since last three years. The service of abc bank is not all satisfactory. When ever you want to do a transaction you have to go to the branch where your account is exist rather you will charged minimum 50 rupees. abc bank has introduce Greene channel for first transaction but now you have to stand in a Que for make a transaction in green channel. The staffs of abc bank are not so familiar with customer like other bank. If you are making good transactions in private banks or small psu banks they will sanction many types of loan to you according to your requirement but at abc bank it is not possible for all. abc bank has the largest ATM network nut most of the ATMs are out of order or shortage of 100 rupees note.
abc bank,abc bank is one of the best public sector bank in abcd. I have opened ac and its working very nicely. I got atm on time. Net banking services also very good. I am very satisfied with the services which they have giving. But it has very crowd in branches and less staffs. 
Lack of staff,There is always a huge rush present in bank. Their staff cant handle their customers. They neglect and avoid their customers. There is no proper management in bank. You have to wait at least a hour to deposit or withdrawl money. Staff behaves rudly with their customers. 
Not good at all,"Their services are not that much good as a private bank gives. Management of their team is also bad. They dont give proper care of their customers.When I go there I see A long Line on cash counters, And this is very annoying. Please improve the system. otherwise this bank will lose its customers.Even its debit card is not supported by paypal and google wallet. while axis bank,hdfc, Icici debit cards are supported by all those services. You may get abc bank every where, but believe me their services are not that good. If you have Rs 5000 then go for HDFC becoz there services are good. and their cars are accepted buy all."
Best Public Sector Bank,"I am Customer of abc bank, I have 2 Bank account in abc bank. abc bank is one of the Public sector Bank in abcd, I Recommended it. abc bank gives to All Customer Home Loan, Student Loan, Car Loan, ATM Card, Net Banking, Credit/Debit Cards etc. I use many times abc bank ATM Card for Instant Money. abc bank Net Banking Service is Good and Secure Transaction also.


So, I like abc bank and Like others.
"
Nice working and service by employee,"abc bank of abcd is very biggest bank in abcd.it very big nationalised bank .


It have given many faclty to his employee like ggo salary package, low rate intrest on loan for departmental employee.


Overall we say abc bank is a one of largest bank and trustable bank in abcd. I have account inthis since 5 year I am soo happy with its service . I has fixed deposit on this bank and its give me very good intrest rate .i have also a debit and credit card of tgis bank I am using in online shoping and others things.overall the bank give me good service and staff was aslo helping for any problem.


So I say you are in abcd you have must 1 abc bank ACCOUNT I PREFER YOU if you don't have go and open 1 account.
"
Trustful Bank,abc bank Is A VerY Trustful Bank.I Have An Account In This Bank Since 2010.This Bank Is VerY Best For All Of Us.It Gives Us New Schemes Policies Etc For Our Bright Future.I ReallY Love This Bank.The Staff Of abc bank Is VerY Responsable To Their Customers.TheY Listen The Complaints Of The Customers And Takes Quick Action On That Problrm.Staff Members And Employes Are VerY Good.ThankYou.
abc bank Signature Credit Card,"I am using this card since last 2 years and indeed its one of the most luxurious card of all the times.Must say please go for it, as it gives an Ultimate style statement and meaning to your life.Apart from this they are paying you ?500 off on booking movie tickets on book my show.May be the annual charges are more but they are also paying you coupon which is worth to your annual charges.


Overall a wealthy deal and a stylish start.
"
Bad bad bad service,"There was a time when we only hear abc bank in banking works. But now the scenerio has been changed. abc bank is becoming one of the worst banks in public dealing and administration. Whenever I go to withdraw money, cashing of cheque or issue of demand draft. They take much longer time as compare to others. Long customer lines are a common site there. Staff in every abc bank is old aged and very irritating. It was like we should thanks them to get our work done.


abc bank, such a backbone of abcdn should improve its services
"
abc bank,"abc bank is a horrible bank . the service of the bank is very bad they dont know how to manage the bank. they dont respect the people who come in the bank . they are always crowd in the bank of the management . and the worst thing of the abc bank is atm where ever I go to withdrawn the money there are always some problem like card not accept, no cash in the manchine, out of service and no 100 rupees notes are avaiable. I dont like abc bank service."
A bank process running like a bullet train,"abc bank , a national bank located in every corner of the country.


A bank which is for people and from people , therefore their service is quick and fast.


I have gone yesterday to open my new account , the banking process was such a quick that they have opened my account quickly and they have given my debit card and check book at the rime of opening only .


So I request you to open an account in abc bank quick and fast.
"
Be No-1 to be a part of abc bank,"Hello friends, as usual we all know abc bank is a largest and biggest banking sector in abcd.They have many more satisfied customer.This bank has many product, they provide car loan, personnel loan, home loan, education loan, mutual fund, insurance(


like general and life both of) demat account for trading etc. many more product.I have a saving account in this bank.Generally I have taken Internet banking.One day I forgot my net banking password and went bank at around 3.30pm.I asked to bank staff for my problem and then they took initially to solv my problem as soon as possible.I was surprise to see their service.Generally abc bank is a nationalised bank the one word is government job.I expected that they will delay to solv my problem but they did not do that.Atleast half an hour to one hour they spent with me to solv my net banking problem.All necessary thing to operate net banking they did.I like that service.And friends you can open your account or take any kind of service from abc bank.The oldest abc bank service today made their milestone to give customer a quick service process.Thanks abc bank, thanks friends.
"
abc bank,Every person who is preparing for bank exams have its dream bank .There is lot of opportunities in abc bank .abc bank is one of the largest public sector bank in abcd .Salery structure as comparable to other banks is high.This bank is one of the prestigios bank 
abc bank,"abc bank is the biggest bank in abcd,actually I have job of consultancy in bank.I have an account in this bank of Hisar branch from four years,I am fully satisfied with their services I have a credit card also in this bank and at whatever point,for shopping or for emi services I use credit credit.This bank have maximum no. of ATM's in abcd to provide good services to the customers .Its bank facilities are very good like token system in bank,you have not to wait too much .It offers many diffrent types of debit card according to the needs of customers."
The best bank in abcd,abc bank is the top best bank because before two years I have opened a account on abc bank if I have to deposit money I have to wait a lots of time in bank I thought waste of time but abc bank only have more atm in my area so now we got deposit machines also so now I have no tension because abc bank e corner is everywhere I can deposit money in seconds and with abc bank online banking I can pay anything within seconds thanks to abc bank for e corner and I have got a lots of discounts due to abc bank debit card payment website like flipkart and snapdeal so abc bank is the best banking I experienced till now in all place's in abcd
Best bank in abcd,"Hello friend, I am sunil kumar mahato and I am saying about abc bank. It is the best one bank in abcd . the branch of abc bank is maximum in abcd and ATM of this bank is also maximum. In every city bank and ATM are available. abc bank provide internet banking and mobile banking also.

Mobile apps is also available.All types of card available like internation debit card, master card, maestro card, credit card, irctc card, travelling card etc. which type of card you need you can apply. you can access your account through internet banking or mobile banking like money transfer, bill payment, mobile recharge. Even you can open new RD account through online, and also fixed deposit. one things is also good for abc bank debit card user. they can transfer money to one abc bank card to another abc bank card.There are so many service provide.i can't explain all thing, my account is also in abc bank.so I know maximum benefits of abc bank or service, I recommended for account opening .

Thanks"
Bloody bulshit abc bank Education Loan Facility,"As fast as abc bank is increasing their faculty area, the loan faculty area mainly the education loan faculty is so poor.poor.poor. The loan faculty is so much corroupted what can I say about that, anything I say is less. I have told you a story which is recently happened with me. I went to my nearest abc bank branch to take education loan, but they tell me that it is a small branch, we can't pass education loan, you have to go your city branch, then I went to city branch of abc bank, they said me that your area is not under our branch, you have to bring a reference letter from your nearest branch that they can't pass education loan, only after that we can discuss about it . when I go to my nearest abc bank branch to ask about the reference letter, they completely refuse me to give reference letter and move me from here to there and no processing about laon has yet done. in my opinion the loan processing unit of abc bank is totally disgusting. so I requested to the students who want education loan to complete their study, please do not go to abc bank otherwise you feel disgusting."
abc bank- The Banker to Every abcdn.,"abc bank (abc bank) is an abcdn Nationalised bank working under Reserve Bank of abcd(RBI). It has its Headquarters located in Mumbai, Maharashtra which Hold All Possible Authority of abcd Division.


I opened my abc bank Savings Account 3 Years ago and I am one of The Satisfied Customer.


Best Quality:




Very Reliable and Trustworthy.





Best Service provider amongst Banking Sector.





It provides more than 14, 000 branches all over abcd, from Very Rural area to Metro Cities.





Various Schemes are provided to the Customers from Loans to Demat Accounts.







Till date Customers have 25 trillion Rupees Invested in abc bank making it the largest Public banking sector in abcd.


The company is ranked 232 on the ""Fortune Global 500"" list of the world's biggest corporations as of 2016.


It's Said if you Don't have A abc bank Account you are Not an abcdN.
"
The abc bank,"The bank abc bank foull form of the bank abc bank the bank had a so much branch and so much user most of pepole had a account on it the abc bank is most well and saportive ban in abcd every then out of five person had a account in this bank the is gov' bank but the bak gives you more fueture of the netbanking and atm sarvices and more you go anywhere you can withdraw the mony by atm and by net this is one of the best way to accus your life over all this is abcdn bank
"
Best in PUBLIC SECTOR,"Hi friends, in this review I am sharing my experience with the banking services of abc bank, which is the largest public sector bank in our country ( abcd) . Well this bank being the largest caters to the largest number of citizens of our country. The facilities provided by the bank are very wide range like CURRENT ACCOUNTS TS, SAVINGS ACCOUNTS, LOANS, INTERNET BANKING, MOBILE BANKING etc. These are only few services of many provided by this bank.


Apart from this being a public sector bank it has the largest network of branches and ATM's. You can find this bank even in villages also. With the facility of CORE BANKING you can operate your account from any of the branch in any place of the country.


The interest on loans are also very low, which will enable the banks to provide loans to even low income and middle class families.


The only thing I found which I would like to be improved is the communication style of employees of the bank with their customer. They often DON'T TREAT THEM IN A SATISFIED MANNER, since you always find rush in this bank it will also be challenging for the employees to cater the customer at the earliest. Now the GOVERNMENT IS ALSO INCREASING THE NUMBER OF STAFFS which will solve the problem in near future.


Overall I can say that it is really a GOOD BANK in the public sector and I recommend you people that you can try its services if you want without any serious concerns.
"
No good bank,This ia bank is no good no like is bank. My accaunt is 5 yers My atm card used to get blocked after evry 1 month and I have to visit the branch to make a request and again the long proces abc bank name is good Service is no good. abc bank 
Bank staffs very bad behavior,In Gurgaon few months ago I was in the bank for my new account open and all staff are saying that they don't have time. Second thing they said u can't open a account less then 25000k.it was worst experience for me and my elder brother. Staff this behavior is very shitty. Please improve your service and staff counseling
abc bank..changeing future,All I want to say is that abi is really is one of the most strongest pillar of our abcdn economy.we all abcdns should be proud of such a bank which is secure .Now talking about the jobs I want to say is that that working in abc bank ensures job satisfaction and safety with a handsome salary thus I advise you all to try for abc bank job
Good But Not Best,"I have savings account in abc bank from last 3 years. abc bank have the largest branch in all over the in abcd. So if I decided to open my savings account in abc bank only.


The good thing in abc bank is that you will get at least on e ATM in every place. So this is biggest advantage you have with abc bank. The systems are fast, internet banking is very easy to understand. The features of abc bank card is also good, security is good. Another thing is that they will never call you for credit cards or any short of insurances which other private banks are doing. So over all abc bank is good.


The bad things are its customer care service. If you revoke your internet password then in bank branch only you can rest it. If you are far away from your home then it will be a big problem. Reset password is the biggest problem in abc bank what I faced till now.


As per my recommendation everyone should have at least one account in abc bank but at the time we should have another account in any other bank as well for net banking. If you have good brain, if can remember every thing then the abc bank is enough.
"
abc bank....of abcd...,"abc bank credit card, u will regret it throughout ur life. I used their fbb card and for a purchase of 57400, I am paying them more than 68000. Bunch of looters and I know why ppl hate government banks. abc bank is the worst bank I hv been to. The staff ( except for 1 or 2) has no sense how to speak to their customers. It took me so much time while on the other hand, if you go to a private bank, the staff will actually help you answer your query/resolve the issue. You stand in the que and it takes forever for your turn to come. For college fees, I had no other option but to make a demand draft from this back. If you take Better go for pvt banks like kotak, hdfc etc rather than abc bank.!
"
Not have proper responce from ther,"Few months ago I have open the account in abc bank.when I have got atm it was not working properly so may problems occurs to me I need to go in bank and gave a letter for a new atm after 3 weeks I got new atm.it occurs with me and my friends also mostily staff of the bank dont behave properly with ther customer just full of erited when money is gon to finish from the abc bank account I m going to close the account ther is no proper responce from the bank it is better to open the account in axis bank they take the care of ther coustomer properly

"
The worst bank,"abc bank is the worst bank I hv been to. The staff ( except for 1 or 2) has no sense how to speak to their customers. You stand in the que and it takes forever for your turn to come. For college fees, I had no other option but to make a demand draft from this back. It took me so much time while on the other hand, if you go to a private bank, the staff will actually help you answer your query/resolve the issue. If you take abc bank credit card, u will regret it throughout ur life. I used their fbb card and for a purchase of 57400, I am paying them more than 68000. Bunch of looters and I know why ppl hate government banks. Better go for pvt banks like kotak, hdfc etc rather than abc bank.!"
Bad Service,"I always facing problem related to my bank atm card I applied 1 month ago and I not yet recieved yet, service quality is so bad in vasundhara branch and they using token system which is horrible from 4 counter just 1 or 2 are on working and rest are all closed I have to wait for 2 hrs for small work. behaviour of staff also not good they just argue with us if they dnt complete our work on time.im very disappointed with there service.! .
"
BAD SERVICES,"I am always facing poor experiences with abc bank. I have open account before five years. Its services are worst either you going in their branches of talking with costumer cares.


You never give a satisfactory answer from their side.


Few months before I submitted a cheque to the bank. A mam was handling my cheque. She is manager of that branch. Firstly she said their is a problem of ink. The name and the amount was written in different ink. I gave her reason the she said sign was not matched.


I took the cheque and submit in my other private bank account.


See their was no issue of pen ink or signature match and my cheque was cleared with in two day.


I thin the government bank employee do not want to work.
"
Very poor service,"abc bank is the worst bank in todays banking sector. it is only opened to harash people.it has many unnecessary norms and requirements when some visit this this bank for any kind of deposit or withdrawal.one I went there for depositing some amount into party's account it asked to present my green card.i was not knowing wat's that green card.but after few arguments I came to know that without that green card I can't deposit money not even in some one's else account but also in my account.its just a nonsense thing which bank introduced to harash people.kindly donot open an account with abc bank.thank you.
"
Third class bank,"The abc bank is a good bank, but it is only good with it's name, otherwise it is a fully disgusting bank of abcd. If seriously study about all banks and rank them, than abc bank comes last of the row, it's running because of it is a government owned bank, otherwise nothing. The staff are think they are prohibited, and behave like a judge, their discussion are full n final. In this bank no one expect good service.yeh bank kebal naamse chalta hai"
Some times abc bank fails,"I have been working at abc bank full-time ( More than 8 years)


Pros


1) A simple graduate can't get a better salary anywhere else in the country


2) If joined as a PO, 2 years of training can actually make you learn a lot about the entire banking verticle


3) Easy on women eomplyees


Cons


1) With a high salary package, the bank might rope you in, but after a while, you will understand that there isnt any value addition


2) Its a typical govt bank. Dont expect anything fair or right. Its a total anarchy here. People dont believe in ideas, they believe in age old rules


3) No feed back mechanism from employees. You can just act as an anonymous whistle-blower or otherwise management has full rights t?

"
Very poor services..............,"Dear friends, write now I share my today experience of visit of abc bank, and today I decide to close my account from this bank .i have very dissapointed from this bank services, there no response of staff in branch, I think staff get salary at free of cost. there is too much compliance is taken by us for a single updation of data.


I wait very long time to reach the counter for get service, there is heavy crowd in the branch because of staff, staff take long time to their work completion .


speed of work of staff is very bad .


I am very angry from this bank.

"
Share market,"The price of abc bank is between 251 and 254 and is stable. As the news has came that all banks will get merge. Aftr the merger the price of abc bank will touch the sky. Near about 350 0r 400 Rs.


If the price of share falls little than dont worry just hold the shares and wait for good profits . As if the prices comes up then dont get greedy that let it come more up then I will sell it. If u achive yuor target then kindly sell it. And dont forget to make a stoploss at 242 without any hesitation
"
More interest with abc bank,"Hello guys, i am writting a review on abc bank.it is national bank.abc bank branches includes all over abcd.and all districts.you choose different schemes.and choose savings account you can get more interest with your money.and also feeling comfortable and easy to maintain account.and if u have any interruptions .near abc bank branch will solve your queries in minutes. I am an employee in abc bank .and also I am using the saving account from the past 5years.and this superb bank in abcd.and work environment is good
"
Why one choose abc bank as a career,"As an employee of this bank I would prefer this to make a career in abc bank. The career starts After joining the bank from the entry level. If a candidate joins abc bank as a clerk then after 3 years he gets promoted to JMG-1 / ASST manager. A recruited Probationary Officer gets promoted to scale-2 after 3 years of service. Besides that every employee of abc bank gets better salary, perks and other facilities compare to other psbs."
Very poor service,"abc bank is a government bank and the service is as expected very poor!


Starting from beginning I went to saltlake branch to open an account but the representative talked as if he was very pissed off. Somehow I managed and opened an account. Now if had some work at the bank there are 4 counters of which 1 is almost empty everytime which means there are only 3 people sitting at counters. Then most of the times they work so slow, talk among themselves and waste customers time!


One day during lunch time 2 counters were closed for lunch break and after there break time was over they were still not back on their seat the third one also went and there were no representive at desk. We were skipping our lunch for work and they were least bothered!


Now I wanted to change my branch so went at the respective persons desk and she was also so ignorent speaking so rudely! I really do not want to be associated with abc bank anymore.


Not there service nor their representives are worth it! I do not receive messages for my transactions and when complained they blame our telephone network which is very illogical! Their interest rates are also not so good! Other banks would be a better option I guess!
"
Great bank.,Hello friends today I talk about abc bank ( abc bank) . its a huge bank in abcd and the best thing is that it has branches every where. its services are also available every where. I am customer of abc bank since last 7 years. abc bank has many schemes according to the status of the people. as people feel comfort he can open his account in this bank. its a trusted bank.
Evey staff of abc bank think they R prime minister,"abc bank ( abc bank) is one of the top four Bank in abcd. abc bank's head office is in kolcata. abc bank has more then 1800O branches in abcd. We can see branches of abc bank in even small villages. We can esely find many ATMs in about all places. abc bank provides Saving, Current, Fix deposit, Loan, Investments, Insurance services to his customers. abc bank has good rate of interest and many excellent schemes for their customers.


Every thing is good of abc bank but I don't know why abc bank's employees think they are CEO of abc bank or Prime minister of abcd. They treat with us like a teacher. I had closed my saving and Fix deposit only because of it. I am telling not about only one branches staff but also all branches staffs are like this. I know you ( Bank Staffs) have Gov. job but it doesn't mean that You will do as you like. They takes many time for singale transaction. In working time they will be left their sheet many time. If any uneducated people go this Bank for any transaction they do not help to these people's. These people would have to face lots of problems in abc bank. Very rearly we can see any good staff in abc bank. I was went abc bank for a draft. They take 5 hours for my draft. Would you believe this. If abc bank staffs will not change their attitude then slowly slowly abc bank will loss their customers.


I don't recommend to any people for opening any accounts in this Bank. I only want to say.abc bank is very excellent Bank but their staffs have attitude. If you have lots of time or If you would handle staffs attitude then I think you should go to this Bank. If I leave employees matter then abc bank is one of the very best Bank in abcd.
"
Poor management,abc bank is most trusted banking in abcd.They give many schem for fixed deposits and other account.But in a bank the most important role is custamer satisfaction.They faild to keep the custamers bcz the important problm is their behaving is very poor.If u want a loan urgently they want many documents than other banks.And their Internet banking is not work properly.
Most Secure Bank In abcd,"Everyone wants to be a part of this most secure bank in abcd.


I am also an abc bank customer and very happy with all its facilities.


The good aspects of this bank are they provides full security on online transaction, Net banking facility is too fast, Mobile app is fantastic and ATM are available almost everywhere.


Bad aspects of this bank are it account opening criteria which is too big and offline service at abc bank branch which is time consuming.


I would strongly recommend to have an account in this fantastic and most secure bank.


My experience with this bank is superb as they started online facility to open abc bank account so that customer can easily fill their details online at their home.
"
The best abcdn bank,abc bank is peoples 1st choice. It is mine also. I havnt faced any problem with the working process of this bank. Hassale free transactions can be expected by any individual. And you can do many big national transactions with its cards. I have seen in many sites that only 5 or 4 banks they prefer and abc bank comes on the top. On my experience 2 years banking relationship with this bank I can say that this bank is very reliable and the processess does not take much time. The interest rates are decent too and their staffs are very helpful.
abc bank,"abc bank is one of the most famous bank and old reknow bank s i.love this bank.all my family has account in this bank .They give many facility and many types of loan.But the employ here r not so good nor to bad , but I feel there r too strict and not at all friendly so people feel bit uneasy.apart of that it is very good bank and very big too .the ambience of the bank also is very good the rule here r also good .we even can do foreign transaction easy , it have very fast tranfering of money .all over its very good bank and very useful and easy bank .thanks for reading my review about this bank"
Brief people views about the abc bank,"Hello I want to review something about abc bank .as we all know that it is one of the leading banks in abcd but employees of the this bank are not behaving properly with customers compare to other banks . it has brought so many apps and these are used by some people but not all the people I mean they are not directly beneficial to comman people.there is no much flexibility in this bank some times we have to wait long time for our work and I am not saying every employ is like that but most of workers will not behave properly . So according to me this has to be changed apartfrom this it has good name in the view of people .
"
Yar mera number kab ayaga,First of all this bank has has a atm almost all the places in abcd and the principle are also good but there are many factor which I don't like about this bank.first comes the queue of people for even a simple work I don't know one thing about this bank this bank has branches all the abcd where human being can reach easily but they do not have a staff to control the croud of public and the staff which they apponint are aged person which do there work where slowly. And some time they sow attitude to so I opened a another account in axis bank it is much better than this
Good bank to open ur account,"I choose this particular bank because I noticed that compare to other banks in abcd this particular bank is most trusted bank. So I never thought twice to select this bank over other banks. This bank has their services and branches all over the abcd and every corner of the country. Also it has a good service. The only negative part that I witnessed that the particular bank has too many formalities so it is sometimes very much problematic to the customers.

"
Quick S.B.I home lones,"abc bank Home Loan is much sought after, thanks to its competitive interest rates and impressive turnaround times. The interest rates are as low as 9.35% . The Loan process is see-through and quick. Good repayment tenure that extends up to 30 years, makes paying back your Home Loan as easy as pie. You can take a Home Loan from abc bank even if you are 18 years old, provided you earn Rs.30, 000 per month.


Most reviewers of the abc bank Home Loan were happy with the schemes provided. Most customers were delighted with the interest rate for the Loan. While some reviewers mentioned that the process was lengthy, there were others who stated that the customer service was praiseworthy. Many said that the Loan amount offered was reasonable.
"
Best bank of abcd,"The best bank of abcd its that fincial institution that give a very goog service all over abcd .it give many type of loan on car house business. Etcit provide credit card debit card it gives too many extra fasility of deposit money .it is best trusted bank The logo of the abc bank is a blue circle with a small cut in the bottom that depicts perfection and the small man the common man - being the center of the bank's business. The logo came from National Institute of Design( NID) , Ahmedabad and it was inspired by Kankaria lake abcd"
A RELIABLE AND MOST TRUSTED NAME IN BANKING SECTOR,"abc bank IS ONE OF THE MOST RELIABLE AND TRUSTED BANK AMONG THE BANKS IN THE BANKING SECTOR OF abcd. IT IS GOOD FOR ALL WITH THERE POLICIES WEATHER A PEOPLE IS POOR OR RICH. I AM ALSO A abc bank ACCOUNT HOLDER AND I NEVER FACED ANY PROBLEM, SOME TIME IT COMES THE BRANCH OFFICER HAD SHORTED OUT THEM NICELY AND QUICKLY. THE COSTUMER SERVICE IS ALSO GOOD. AND THE NET BANKING ALSO I FEEL RELAXED THE IT IF ANY TRANSACTION IS NEEDED.


IN TODAY'S WORLD MOST OF USE HAVE MULTIPLE ACCOUNT, ALMOST ALL MULTIPLE HAD ONE ACCOUNT IN SIB .THAT THE RELIBILITY SHOWN.ALSO THE SUCCESS OF THE BANK.
"
abc bank net banking,"All people and also government said that abc bank net banking god faculty provide but according to me not good faculty provide because many time send money by inter beneficial but not send I have proof my abc bank account no is 34341997582 to pay other bank in PNB account is 060600100317626 transaction no IRA3535631 PAYMENT MODE NEFT TWO TIME DEPOSIT IN PUNJAB NATIONAL BANK BUT by abc bank net banking through pay this type problem creating by abc bank online banking thats reason I must say no one use abc bank net banking , thanks"
abc bank the leader of all banks with explicit quality.,"Hi Everyone,


abc bank is one of the leading bank providing excellent service be it from employer point of view or from customer relationship point of view. Relationships are maintained for long with customers being the leading service provider in baking industry.


One of the safest bank to invest in without any hesitation of loss or risk from their end.


Flexibility and customer centric approach makes this bank stand strong in the market with good reputation.


A risk free avenue to step in.
"
One of the best bank,Hi friends today I am going to share my experience with abc bank.This the abcds largedt bank.this is a nationalise bank.And it has the highest Account holders bank.It has most branches than the other banks.when I was in class 11 I open a student account on this bank.And it was open in 3 days.till then I have this account I got interests on it an then I request for ATM and I also got the atm and now I can buy anything from internet.And now throgh abc bank buddy we can do net banking throgh abc bank.so I like this bank
Average service but good netbanking,"I opend an account in abc bank two year ago placed at chopasani housing board branch jodhpur. abc bank is nationalize bank which keeps you money with safely also you can buy locker to put your necessary things in that. it provide good service as good consumer support. The ATM network of abc bank is abcd's largest ATM Network.


Its Net banking facility is really good. good connectivity with frequent transitions.Its mostly service is good like visa money transfer, mutual funds purchase, demat section, bill payment, demand draft request etc.


The problem with abc bank is that its worker unhelpful attitude and carelessness of employers like other govt department. I noticed many times if the money machine is damage than it will take 2 or 3 month to correct it and I have to spent 1 hour for money entry in my passbook.

"
abc bank,"Good evening guys.am so glad to write review about this bank.beat bank gives options to choose online banking.we will receive Atm cards in time.and vl b having Atm machines and deposit machines in all places.available at all places not lik other banks to cut extra charges.for Atm .best bank.choose this bank and save money.makes your life happy by giving loans at low interest.lov u abc bank
"
abc bank,"Hello dosto,


I am posting review on abc bank,


We all know about abc bank, Its a abc bank ia an indain multinational bank, public sector banking and it is financial service company. it is a government- owned corporation with its owned head quarter in mumbai, Maharastra. As of the 2014-2015, it had asset INR 20480 biilion rupees(USd 310 Billion dollar).


It is the biggest bank in abcd. It has more than 15thousands bank in abcd.


It provide loan to the poor farmer as well as to the busyness man.


It is a poor surporter bank . it s is the best bank .


Thannks
"
